id,gid,x,y,v_x,v_y,radius,time
0,0,-8.912509,-0.999211,0.874912,0.007890,0.750000,0.100000
1,0,-8.966226,0.993762,0.337743,-0.062381,0.750000,0.100000
2,1,-0.058404,0.001437,-0.584036,0.014365,0.750000,0.100000
0,0,-8.811425,-1.004851,1.010836,-0.056404,0.750000,0.200000
1,0,-8.895169,0.988865,0.710570,-0.048967,0.750000,0.200000
2,1,-0.154580,0.002312,-0.961763,0.008751,0.750000,0.200000
0,0,-8.716878,-1.001783,0.945475,0.030679,0.750000,0.300000
1,0,-8.777479,0.994288,1.176899,0.054230,0.750000,0.300000
2,1,-0.255813,0.013376,-1.012330,0.110646,0.750000,0.300000
0,0,-8.579188,-0.997859,1.376893,0.039248,0.750000,0.400000
1,0,-8.664228,1.010611,1.132505,0.163224,0.750000,0.400000
2,1,-0.377090,0.013378,-1.212772,0.000021,0.750000,0.400000
0,0,-8.441529,-1.012614,1.376594,-0.147556,0.750000,0.500000
1,0,-8.536112,1.008607,1.281164,-0.020032,0.750000,0.500000
2,1,-0.522989,0.012032,-1.458995,-0.013465,0.750000,0.500000
0,0,-8.313900,-1.042449,1.276288,-0.298342,0.750000,0.600000
1,0,-8.401480,1.016511,1.346322,0.079035,0.750000,0.600000
2,1,-0.651728,0.023451,-1.287385,0.114197,0.750000,0.600000
0,0,-8.186776,-1.066466,1.271244,-0.240175,0.750000,0.700000
1,0,-8.275551,1.035909,1.259292,0.193980,0.750000,0.700000
2,1,-0.784226,0.029585,-1.324976,0.061335,0.750000,0.700000
0,0,-8.080329,-1.056486,1.064467,0.099804,0.750000,0.800000
1,0,-8.160002,1.056955,1.155490,0.210464,0.750000,0.800000
2,1,-0.927688,0.030045,-1.434622,0.004603,0.750000,0.800000
0,0,-7.964930,-1.040118,1.153991,0.163673,0.750000,0.900000
1,0,-8.038097,1.058279,1.219048,0.013240,0.750000,0.900000
2,1,-1.071656,0.024320,-1.439684,-0.057256,0.750000,0.900000
0,0,-7.826555,-1.043419,1.383746,-0.033008,0.750000,1.000000
1,0,-7.886464,1.068576,1.516329,0.102970,0.750000,1.000000
2,1,-1.196269,0.035977,-1.246130,0.116569,0.750000,1.000000
0,0,-7.673227,-1.039739,1.533282,0.036800,0.750000,1.100000
1,0,-7.733823,1.062697,1.526404,-0.058797,0.750000,1.100000
2,1,-1.315453,0.039680,-1.191840,0.037034,0.750000,1.100000
0,0,-7.536470,-1.037270,1.367566,0.024687,0.750000,1.200000
1,0,-7.591749,1.067751,1.420748,0.050549,0.750000,1.200000
2,1,-1.452715,0.056153,-1.372617,0.164728,0.750000,1.200000
0,0,-7.398887,-1.042466,1.375832,-0.051957,0.750000,1.300000
1,0,-7.448799,1.087016,1.429495,0.192645,0.750000,1.300000
2,1,-1.581682,0.060904,-1.289669,0.047514,0.750000,1.300000
0,0,-7.264667,-1.040399,1.342202,0.020670,0.750000,1.400000
1,0,-7.317143,1.104446,1.316565,0.174296,0.750000,1.400000
2,1,-1.705917,0.064584,-1.242356,0.036803,0.750000,1.400000
0,0,-7.123398,-1.026695,1.412687,0.137046,0.750000,1.500000
1,0,-7.192523,1.120137,1.246200,0.156911,0.750000,1.500000
2,1,-1.845156,0.063674,-1.392382,-0.009106,0.750000,1.500000
0,0,-6.987989,-1.019673,1.354089,0.070217,0.750000,1.600000
1,0,-7.066700,1.130985,1.258225,0.108482,0.750000,1.600000
2,1,-1.974110,0.059900,-1.289544,-0.037740,0.750000,1.600000
0,0,-6.843032,-1.019001,1.449573,0.006714,0.750000,1.700000
1,0,-6.935018,1.128875,1.316824,-0.021098,0.750000,1.700000
2,1,-2.107591,0.070505,-1.334811,0.106055,0.750000,1.700000
0,0,-6.709409,-1.047204,1.336229,-0.282023,0.750000,1.800000
1,0,-6.851770,1.159857,0.832474,0.309821,0.750000,1.800000
2,1,-2.228450,0.052755,-1.208587,-0.177501,0.750000,1.800000
0,0,-6.575751,-1.094225,1.336588,-0.470209,0.750000,1.900000
1,0,-6.748164,1.182962,1.036063,0.231053,0.750000,1.900000
2,1,-2.350571,0.048202,-1.221210,-0.045530,0.750000,1.900000
0,0,-6.455852,-1.129243,1.198982,-0.350188,0.750000,2.000000
1,0,-6.644090,1.216231,1.040744,0.332685,0.750000,2.000000
2,1,-2.476593,0.047020,-1.260220,-0.011823,0.750000,2.000000
0,0,-6.335382,-1.158830,1.204700,-0.295861,0.750000,2.100000
1,0,-6.545393,1.236942,0.986966,0.207113,0.750000,2.100000
2,1,-2.596234,0.054953,-1.196414,0.079326,0.750000,2.100000
0,0,-6.208928,-1.187102,1.264545,-0.282722,0.750000,2.200000
1,0,-6.424496,1.272643,1.208973,0.357006,0.750000,2.200000
2,1,-2.704609,0.049718,-1.083745,-0.052343,0.750000,2.200000
0,0,-6.076663,-1.222772,1.322644,-0.356703,0.750000,2.300000
1,0,-6.282050,1.295968,1.424452,0.233255,0.750000,2.300000
2,1,-2.800020,0.051449,-0.954117,0.017301,0.750000,2.300000
0,0,-5.941100,-1.243652,1.355632,-0.208798,0.750000,2.400000
1,0,-6.162651,1.333693,1.193999,0.377247,0.750000,2.400000
2,1,-2.902260,0.055883,-1.022393,0.044348,0.750000,2.400000
0,0,-5.824532,-1.262299,1.165684,-0.186467,0.750000,2.500000
1,0,-6.056487,1.382744,1.061635,0.490507,0.750000,2.500000
2,1,-2.981827,0.054806,-0.795675,-0.010774,0.750000,2.500000
0,0,-5.697310,-1.280974,1.272213,-0.186755,0.750000,2.600000
1,0,-5.952301,1.416533,1.041857,0.337898,0.750000,2.600000
2,1,-3.101788,0.060147,-1.199613,0.053407,0.750000,2.600000
0,0,-5.551507,-1.300492,1.458036,-0.195182,0.750000,2.700000
1,0,-5.835810,1.443753,1.164914,0.272197,0.750000,2.700000
2,1,-3.216266,0.075887,-1.144774,0.157403,0.750000,2.700000
0,0,-5.419345,-1.299834,1.321614,0.006584,0.750000,2.800000
1,0,-5.706172,1.472206,1.296384,0.284530,0.750000,2.800000
2,1,-3.307626,0.079452,-0.913604,0.035651,0.750000,2.800000
0,0,-5.270960,-1.311766,1.483850,-0.119321,0.750000,2.900000
1,0,-5.569268,1.496419,1.369039,0.242125,0.750000,2.900000
2,1,-3.333788,0.094619,-0.261621,0.151671,0.750000,2.900000
0,0,-5.128073,-1.316972,1.428874,-0.052058,0.750000,3.000000
1,0,-5.441841,1.527181,1.274266,0.307627,0.750000,3.000000
2,1,-3.436289,0.100103,-1.025004,0.054837,0.750000,3.000000
0,0,-4.995806,-1.335837,1.322671,-0.188653,0.750000,3.100000
1,0,-5.321447,1.545129,1.203942,0.179473,0.750000,3.100000
2,1,-3.588198,0.117070,-1.519095,0.169674,0.750000,3.100000
0,0,-4.878043,-1.346847,1.177629,-0.110101,0.750000,3.200000
1,0,-5.205117,1.574771,1.163300,0.296422,0.750000,3.200000
2,1,-3.704458,0.117744,-1.162596,0.006743,0.750000,3.200000
0,0,-4.770165,-1.360535,1.078780,-0.136878,0.750000,3.300000
1,0,-5.100845,1.590837,1.042716,0.160657,0.750000,3.300000
2,1,-3.817826,0.132138,-1.133678,0.143937,0.750000,3.300000
0,0,-4.631386,-1.353053,1.387794,0.074821,0.750000,3.400000
1,0,-4.979849,1.616473,1.209963,0.256360,0.750000,3.400000
2,1,-3.933424,0.125585,-1.155980,-0.065531,0.750000,3.400000
0,0,-4.475730,-1.379945,1.556562,-0.268920,0.750000,3.500000
1,0,-4.852573,1.614339,1.272757,-0.021339,0.750000,3.500000
2,1,-4.015199,0.144412,-0.817750,0.188271,0.750000,3.500000
0,0,-4.330161,-1.385420,1.455687,-0.054749,0.750000,3.600000
1,0,-4.710170,1.667261,1.424029,0.529221,0.750000,3.600000
2,1,-4.127293,0.131872,-1.120945,-0.125401,0.750000,3.600000
0,0,-4.208867,-1.404333,1.212938,-0.189135,0.750000,3.700000
1,0,-4.579163,1.690338,1.310070,0.230771,0.750000,3.700000
