id,gid,x,y,v_x,v_y,radius,time
0,0,10.098638,0.317424,-0.674616,-0.376805,0.200000,0.100000
1,0,12.473821,0.602389,-0.745795,0.108623,0.200000,0.100000
2,0,7.305881,-0.124359,-0.161585,-0.023778,0.200000,0.100000
3,0,6.687682,-0.830884,-1.168580,0.094941,0.200000,0.100000
4,0,8.834527,0.711857,-0.005227,0.118455,0.200000,0.100000
5,0,5.196542,0.503641,-0.271185,-0.309616,0.200000,0.100000
6,0,13.695793,-1.049073,0.002933,0.007573,0.200000,0.100000
7,0,10.818610,-0.179532,-0.413901,-0.096866,0.200000,0.100000
8,0,13.207340,-0.538848,-1.055604,-0.014075,0.200000,0.100000
9,0,8.010070,-0.248430,-0.194801,-0.278056,0.200000,0.100000
10,0,6.747435,0.213447,-1.158648,-0.060911,0.200000,0.100000
11,0,14.757478,-0.693485,-0.034219,-0.022366,0.200000,0.100000
12,0,13.393463,0.575858,-0.164366,-0.196462,0.200000,0.100000
13,0,8.470317,0.158133,-0.559832,0.263465,0.200000,0.100000
27,1,5.167592,1.233848,0.005719,0.106181,0.200000,0.100000
28,1,4.803144,2.987135,-0.064059,-0.356349,0.200000,0.100000
29,1,4.815772,0.647558,0.033015,-0.614957,0.200000,0.100000
30,1,7.584256,3.400225,-0.188743,-0.466653,0.200000,0.100000
31,1,7.272753,-4.383946,-0.030565,-0.389962,0.200000,0.100000
32,1,5.646373,2.192079,0.016432,-0.475809,0.200000,0.100000
33,1,7.982231,5.283099,0.049112,-0.810109,0.200000,0.100000
34,1,4.956807,6.521995,0.296871,-1.143049,0.200000,0.100000
35,1,9.188136,3.749263,0.038063,-0.354169,0.200000,0.100000
36,1,6.200148,4.108075,0.036580,-1.002451,0.200000,0.100000
37,1,8.555354,3.858086,0.026343,-0.045442,0.200000,0.100000
38,1,9.171693,4.602540,0.303834,-0.293197,0.200000,0.100000
39,1,6.804737,8.756683,0.058265,-1.118167,0.200000,0.100000
0,0,10.039914,0.261277,-0.587247,-0.561470,0.200000,0.200000
1,0,12.354966,0.598033,-1.188548,-0.043563,0.200000,0.200000
2,0,7.219940,-0.115977,-0.859415,0.083822,0.200000,0.200000
3,0,6.556952,-0.827673,-1.307301,0.032108,0.200000,0.200000
4,0,8.801634,0.711414,-0.328938,-0.004433,0.200000,0.200000
5,0,5.156337,0.370356,-0.402046,-1.332854,0.200000,0.200000
6,0,13.618171,-1.041476,-0.776226,0.075962,0.200000,0.200000
7,0,10.745581,-0.194244,-0.730294,-0.147126,0.200000,0.200000
8,0,13.065242,-0.514468,-1.420980,0.243801,0.200000,0.200000
9,0,7.943535,-0.302146,-0.665354,-0.537159,0.200000,0.200000
10,0,6.639504,0.241129,-1.079312,0.276817,0.200000,0.200000
11,0,14.657690,-0.682654,-0.997879,0.108309,0.200000,0.200000
12,0,13.305300,0.562622,-0.881635,-0.132356,0.200000,0.200000
13,0,8.439030,0.198110,-0.312866,0.399778,0.200000,0.200000
27,1,5.168273,1.233256,0.006811,-0.005925,0.200000,0.200000
28,1,4.796144,2.909693,-0.070001,-0.774423,0.200000,0.200000
29,1,4.767062,0.542065,-0.487093,-1.054932,0.200000,0.200000
30,1,7.593973,3.317909,0.097172,-0.823158,0.200000,0.200000
31,1,7.281253,-4.473781,0.084992,-0.898348,0.200000,0.200000
32,1,5.653353,2.094741,0.069797,-0.973382,0.200000,0.200000
33,1,7.983547,5.155025,0.013159,-1.280739,0.200000,0.200000
34,1,4.971711,6.418269,0.149037,-1.037257,0.200000,0.200000
35,1,9.162171,3.682776,-0.259650,-0.664873,0.200000,0.200000
36,1,6.217051,4.009349,0.169033,-0.987261,0.200000,0.200000
37,1,8.562535,3.835185,0.071804,-0.229006,0.200000,0.200000
38,1,9.192963,4.553337,0.212693,-0.492036,0.200000,0.200000
39,1,6.790543,8.623819,-0.141936,-1.328641,0.200000,0.200000
0,0,9.923983,0.247606,-1.159307,-0.136704,0.200000,0.300000
1,0,12.215888,0.587057,-1.390780,-0.109759,0.200000,0.300000
2,0,7.086165,-0.115944,-1.337754,0.000330,0.200000,0.300000
3,0,6.426906,-0.817689,-1.300461,0.099842,0.200000,0.300000
4,0,8.680313,0.752955,-1.213206,0.415404,0.200000,0.300000
5,0,5.117311,0.244104,-0.390258,-1.262517,0.200000,0.300000
6,0,13.505348,-1.037617,-1.128225,0.038595,0.200000,0.300000
7,0,10.661929,-0.204627,-0.836517,-0.103824,0.200000,0.300000
8,0,12.971018,-0.511096,-0.942240,0.033727,0.200000,0.300000
9,0,7.828187,-0.311455,-1.153476,-0.093096,0.200000,0.300000
10,0,6.520351,0.269792,-1.191533,0.286638,0.200000,0.300000
11,0,14.539808,-0.651522,-1.178823,0.311314,0.200000,0.300000
12,0,13.194912,0.571808,-1.103882,0.091862,0.200000,0.300000
13,0,8.389465,0.247493,-0.495655,0.493828,0.200000,0.300000
27,1,5.168245,1.219676,-0.000282,-0.135802,0.200000,0.300000
28,1,4.852329,2.795512,0.561847,-1.141808,0.200000,0.300000
29,1,4.722077,0.415278,-0.449849,-1.267870,0.200000,0.300000
30,1,7.632392,3.211152,0.384186,-1.067571,0.200000,0.300000
31,1,7.268028,-4.585867,-0.132250,-1.120862,0.200000,0.300000
32,1,5.670362,2.014688,0.170088,-0.800533,0.200000,0.300000
33,1,7.975573,5.030398,-0.079744,-1.246274,0.200000,0.300000
34,1,4.978096,6.303917,0.063855,-1.143529,0.200000,0.300000
35,1,9.138306,3.619332,-0.238651,-0.634441,0.200000,0.300000
36,1,6.232610,3.882369,0.155590,-1.269794,0.200000,0.300000
37,1,8.566984,3.802240,0.044490,-0.329455,0.200000,0.300000
38,1,9.191838,4.474647,-0.011249,-0.786898,0.200000,0.300000
39,1,6.761194,8.502914,-0.293490,-1.209050,0.200000,0.300000
0,0,9.789803,0.250071,-1.341803,0.024648,0.200000,0.400000
1,0,12.099096,0.583372,-1.167915,-0.036849,0.200000,0.400000
2,0,6.962747,-0.115525,-1.234176,0.004185,0.200000,0.400000
3,0,6.311241,-0.822501,-1.156645,-0.048118,0.200000,0.400000
4,0,8.521170,0.790932,-1.591428,0.379771,0.200000,0.400000
5,0,5.069989,0.110002,-0.473220,-1.341019,0.200000,0.400000
6,0,13.376336,-1.031841,-1.290125,0.057759,0.200000,0.400000
7,0,10.552809,-0.215329,-1.091195,-0.107022,0.200000,0.400000
8,0,12.885540,-0.513183,-0.854777,-0.020873,0.200000,0.400000
9,0,7.696255,-0.312892,-1.319318,-0.014368,0.200000,0.400000
10,0,6.381841,0.279080,-1.385100,0.092878,0.200000,0.400000
11,0,14.414566,-0.615645,-1.252423,0.358771,0.200000,0.400000
12,0,13.078155,0.580664,-1.167564,0.088556,0.200000,0.400000
13,0,8.329540,0.283757,-0.599244,0.362639,0.200000,0.400000
27,1,5.138072,1.223668,-0.301726,0.039924,0.200000,0.400000
28,1,4.896935,2.709690,0.446063,-0.858221,0.200000,0.400000
29,1,4.679657,0.303410,-0.424203,-1.118685,0.200000,0.400000
30,1,7.674618,3.097146,0.422267,-1.140062,0.200000,0.400000
31,1,7.260437,-4.711266,-0.075904,-1.253985,0.200000,0.400000
32,1,5.693428,1.893242,0.230660,-1.214452,0.200000,0.400000
33,1,7.925473,4.898464,-0.500999,-1.319339,0.200000,0.400000
34,1,4.995440,6.177808,0.173433,-1.261086,0.200000,0.400000
35,1,9.118575,3.545912,-0.197313,-0.734197,0.200000,0.400000
36,1,6.227210,3.809374,-0.054007,-0.729956,0.200000,0.400000
37,1,8.555031,3.758603,-0.119526,-0.436366,0.200000,0.400000
38,1,9.180189,4.387298,-0.116491,-0.873492,0.200000,0.400000
39,1,6.767464,8.390226,0.062696,-1.126878,0.200000,0.400000
0,0,9.641882,0.252518,-1.479206,0.024467,0.200000,0.500000
1,0,11.971567,0.575034,-1.275291,-0.083380,0.200000,0.500000
2,0,6.832160,-0.116023,-1.305872,-0.004983,0.200000,0.500000
3,0,6.186399,-0.807887,-1.248427,0.146139,0.200000,0.500000
4,0,8.388018,0.832856,-1.331520,0.419240,0.200000,0.500000
5,0,5.025635,-0.005061,-0.443537,-1.150630,0.200000,0.500000
6,0,13.257495,-1.036014,-1.188407,-0.041735,0.200000,0.500000
7,0,10.428224,-0.229934,-1.245849,-0.146051,0.200000,0.500000
8,0,12.761677,-0.487467,-1.238626,0.257162,0.200000,0.500000
9,0,7.573200,-0.332695,-1.230548,-0.198026,0.200000,0.500000
10,0,6.235531,0.306748,-1.463101,0.276678,0.200000,0.500000
11,0,14.286907,-0.586859,-1.276582,0.287866,0.200000,0.500000
12,0,12.946685,0.567204,-1.314698,-0.134599,0.200000,0.500000
13,0,8.234028,0.325689,-0.955124,0.419323,0.200000,0.500000
27,1,5.134511,1.213951,-0.035610,-0.097169,0.200000,0.500000
28,1,4.926915,2.620658,0.299797,-0.890321,0.200000,0.500000
29,1,4.638800,0.190615,-0.408570,-1.127943,0.200000,0.500000
30,1,7.716404,2.971664,0.417856,-1.254815,0.200000,0.500000
31,1,7.261247,-4.832613,0.008096,-1.213469,0.200000,0.500000
32,1,5.718440,1.770922,0.250124,-1.223205,0.200000,0.500000
33,1,7.901805,4.776980,-0.236682,-1.214836,0.200000,0.500000
34,1,5.020612,6.065396,0.251728,-1.124121,0.200000,0.500000
35,1,9.113812,3.451059,-0.047633,-0.948529,0.200000,0.500000
36,1,6.203023,3.709128,-0.241871,-1.002460,0.200000,0.500000
37,1,8.527056,3.700769,-0.279748,-0.578341,0.200000,0.500000
38,1,9.193602,4.276602,0.134130,-1.106953,0.200000,0.500000
39,1,6.761669,8.286029,-0.057948,-1.041971,0.200000,0.500000
0,0,9.474436,0.232790,-1.674462,-0.197278,0.200000,0.600000
1,0,11.816586,0.593170,-1.549810,0.181359,0.200000,0.600000
2,0,6.705479,-0.122232,-1.266809,-0.062087,0.200000,0.600000
3,0,6.053342,-0.781876,-1.330565,0.260105,0.200000,0.600000
4,0,8.299261,0.875821,-0.887568,0.429659,0.200000,0.600000
5,0,5.009747,-0.139507,-0.158888,-1.344461,0.200000,0.600000
6,0,13.134574,-1.047011,-1.229214,-0.109961,0.200000,0.600000
7,0,10.296094,-0.234984,-1.321305,-0.050501,0.200000,0.600000
8,0,12.642694,-0.516467,-1.189833,-0.289998,0.200000,0.600000
9,0,7.446013,-0.342739,-1.271873,-0.100444,0.200000,0.600000
10,0,6.106927,0.317874,-1.286033,0.111258,0.200000,0.600000
11,0,14.158806,-0.560822,-1.281015,0.260369,0.200000,0.600000
12,0,12.819179,0.582165,-1.275061,0.149605,0.200000,0.600000
13,0,8.146632,0.368911,-0.873958,0.432220,0.200000,0.600000
27,1,5.105098,1.214713,-0.294128,0.007614,0.200000,0.600000
28,1,4.979974,2.493332,0.530589,-1.273258,0.200000,0.600000
29,1,4.574786,0.084399,-0.640137,-1.062163,0.200000,0.600000
30,1,7.724766,2.829231,0.083623,-1.424333,0.200000,0.600000
31,1,7.261780,-4.944726,0.005335,-1.121133,0.200000,0.600000
32,1,5.760979,1.639013,0.425394,-1.319093,0.200000,0.600000
33,1,7.853065,4.662831,-0.487399,-1.141491,0.200000,0.600000
34,1,5.036058,5.919599,0.154458,-1.457973,0.200000,0.600000
35,1,9.067398,3.325092,-0.464137,-1.259667,0.200000,0.600000
36,1,6.234862,3.601798,0.318392,-1.073302,0.200000,0.600000
37,1,8.535670,3.610901,0.086141,-0.898680,0.200000,0.600000
38,1,9.213067,4.155321,0.194651,-1.212814,0.200000,0.600000
39,1,6.769272,8.166983,0.076027,-1.190461,0.200000,0.600000
0,0,9.316742,0.232961,-1.576943,0.001713,0.200000,0.700000
1,0,11.684171,0.598390,-1.324147,0.052200,0.200000,0.700000
2,0,6.579553,-0.121628,-1.259255,0.006039,0.200000,0.700000
3,0,5.916952,-0.754099,-1.363904,0.277770,0.200000,0.700000
4,0,8.171042,0.933328,-1.282188,0.575065,0.200000,0.700000
5,0,4.965841,-0.237403,-0.439058,-0.978960,0.200000,0.700000
6,0,12.993798,-1.071240,-1.407759,-0.242299,0.200000,0.700000
7,0,10.139530,-0.231749,-1.565642,0.032350,0.200000,0.700000
8,0,12.506341,-0.515184,-1.363526,0.012830,0.200000,0.700000
9,0,7.332256,-0.364629,-1.137568,-0.218900,0.200000,0.700000
10,0,5.948509,0.323210,-1.584178,0.053359,0.200000,0.700000
11,0,14.038822,-0.547147,-1.199841,0.136741,0.200000,0.700000
12,0,12.697789,0.592827,-1.213902,0.106625,0.200000,0.700000
13,0,8.068031,0.402985,-0.786009,0.340739,0.200000,0.700000
27,1,5.093926,1.186602,-0.111726,-0.281107,0.200000,0.700000
28,1,5.008695,2.376114,0.287214,-1.172178,0.200000,0.700000
29,1,4.544754,-0.031101,-0.300327,-1.155002,0.200000,0.700000
30,1,7.729277,2.703497,0.045105,-1.257341,0.200000,0.700000
31,1,7.262956,-5.056867,0.011757,-1.121409,0.200000,0.700000
32,1,5.781237,1.509696,0.202579,-1.293165,0.200000,0.700000
33,1,7.831927,4.564427,-0.211373,-0.984038,0.200000,0.700000
34,1,5.047191,5.804416,0.111325,-1.151829,0.200000,0.700000
35,1,9.013717,3.209508,-0.536810,-1.155843,0.200000,0.700000
36,1,6.218135,3.469566,-0.167270,-1.322320,0.200000,0.700000
37,1,8.534313,3.529042,-0.013571,-0.818591,0.200000,0.700000
38,1,9.224700,4.053266,0.116334,-1.020554,0.200000,0.700000
39,1,6.766581,8.054494,-0.026905,-1.124895,0.200000,0.700000
0,0,9.199168,0.235573,-1.175731,0.026116,0.200000,0.800000
1,0,11.545049,0.589972,-1.391227,-0.084185,0.200000,0.800000
2,0,6.458097,-0.121471,-1.214561,0.001577,0.200000,0.800000
3,0,5.780921,-0.730341,-1.360310,0.237587,0.200000,0.800000
4,0,8.052462,0.990196,-1.185804,0.568681,0.200000,0.800000
