id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000003,-0.131262,0.000052,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082031,0.500000,0.050000
2,2,0.000001,7.993178,0.000031,-0.136434,0.500000,0.050000
3,3,-5.652172,5.652174,0.093557,-0.093529,0.500000,0.050000
4,4,-7.994095,0.000001,0.118107,0.000029,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095391,0.095332,0.500000,0.050000
6,6,0.000000,-7.993084,0.000008,0.138312,0.500000,0.050000
7,7,5.652674,-5.652661,-0.083721,0.083784,0.500000,0.050000
0,0,7.980969,0.000007,-0.249365,0.000079,0.500000,0.100000
1,1,5.644956,5.644956,-0.155840,-0.155857,0.500000,0.100000
2,2,0.000005,7.980218,0.000072,-0.259211,0.500000,0.100000
3,3,-5.643284,5.643290,0.177771,-0.177675,0.500000,0.100000
4,4,-7.982875,0.000004,0.224393,0.000058,0.500000,0.100000
5,5,-5.643019,-5.643038,0.181233,0.181108,0.500000,0.100000
6,6,0.000002,-7.979945,0.000020,0.262784,0.500000,0.100000
7,7,5.644723,-5.644701,-0.159016,0.159199,0.500000,0.100000
0,0,7.963187,0.000012,-0.355633,0.000114,0.500000,0.150000
1,1,5.633843,5.633843,-0.222264,-0.222245,0.500000,0.150000
2,2,0.000012,7.961732,0.000145,-0.369708,0.500000,0.150000
3,3,-5.630605,5.630621,0.253570,-0.253381,0.500000,0.150000
4,4,-7.966875,0.000010,0.320010,0.000125,0.500000,0.150000
5,5,-5.630097,-5.630123,0.258446,0.258304,0.500000,0.150000
6,6,0.000005,-7.961207,0.000060,0.374769,0.500000,0.150000
7,7,5.633382,-5.633347,-0.226815,0.227070,0.500000,0.150000
0,0,7.940626,0.000022,-0.451217,0.000198,0.500000,0.200000
1,1,5.619744,5.619745,-0.281982,-0.281975,0.500000,0.200000
2,2,0.000025,7.938276,0.000249,-0.469136,0.500000,0.200000
3,3,-5.614518,5.614549,0.321740,-0.321426,0.500000,0.200000
4,4,-7.946572,0.000012,0.406042,0.000037,0.500000,0.200000
5,5,-5.613702,-5.613733,0.327900,0.327795,0.500000,0.200000
6,6,0.000009,-7.937429,0.000083,0.475557,0.500000,0.200000
7,7,5.618999,-5.618944,-0.287658,0.288062,0.500000,0.200000
0,0,7.913762,0.000033,-0.537278,0.000211,0.500000,0.250000
1,1,5.602961,5.602959,-0.335655,-0.335720,0.500000,0.250000
2,2,0.000045,7.910351,0.000410,-0.558499,0.500000,0.250000
3,3,-5.595368,5.595408,0.383011,-0.382827,0.500000,0.250000
4,4,-7.922402,0.000009,0.483412,-0.000060,0.500000,0.250000
