id,gid,x,y,v_x,v_y,radius,time
0,0,7.993450,0.000066,-0.130991,0.001329,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093563,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652672,-5.652667,-0.083750,0.083670,0.500000,0.050000
0,0,7.981000,0.000115,-0.249012,0.000979,0.500000,0.100000
1,1,5.644984,5.644950,-0.155282,-0.155954,0.500000,0.100000
2,2,0.000005,7.980216,0.000072,-0.259242,0.500000,0.100000
3,3,-5.643600,5.643197,0.171441,-0.179522,0.500000,0.100000
4,4,-7.982883,0.000014,0.224207,0.000272,0.500000,0.100000
5,5,-5.643047,-5.643020,0.180666,0.181463,0.500000,0.100000
6,6,0.000000,-7.979943,0.000000,0.262819,0.500000,0.100000
7,7,5.645125,-5.644631,-0.150959,0.160716,0.500000,0.100000
0,0,7.963375,0.000925,-0.352489,0.016182,0.500000,0.150000
1,1,5.634211,5.633937,-0.215467,-0.220262,0.500000,0.150000
2,2,-0.000042,7.961838,-0.000949,-0.367554,0.500000,0.150000
3,3,-5.631833,5.630565,0.235338,-0.252629,0.500000,0.150000
4,4,-7.967200,0.000211,0.313678,0.003931,0.500000,0.150000
5,5,-5.630279,-5.630299,0.255366,0.254424,0.500000,0.150000
6,6,-0.000058,-7.961676,-0.001165,0.365328,0.500000,0.150000
7,7,5.634727,-5.633852,-0.207945,0.215582,0.500000,0.150000
0,0,7.941193,0.001316,-0.443646,0.007830,0.500000,0.200000
1,1,5.621223,5.619664,-0.259766,-0.285461,0.500000,0.200000
2,2,-0.000326,7.938997,-0.005667,-0.456815,0.500000,0.200000
3,3,-5.617767,5.614439,0.281320,-0.322522,0.500000,0.200000
4,4,-7.947526,0.000418,0.393474,0.004136,0.500000,0.200000
5,5,-5.614762,-5.614111,0.310324,0.323767,0.500000,0.200000
6,6,0.000272,-7.938980,0.006601,0.453922,0.500000,0.200000
7,7,5.621990,-5.620433,-0.254738,0.268364,0.500000,0.200000
0,0,7.914963,0.001163,-0.524605,-0.003057,0.500000,0.250000
1,1,5.606260,5.603093,-0.299243,-0.331425,0.500000,0.250000
2,2,-0.000282,7.911819,0.000868,-0.543565,0.500000,0.250000
3,3,-5.600980,5.595418,0.335738,-0.380419,0.500000,0.250000
4,4,-7.924809,0.001067,0.454345,0.012993,0.500000,0.250000
5,5,-5.596124,-5.595529,0.372768,0.371623,0.500000,0.250000
6,6,0.000321,-7.911996,0.000975,0.539694,0.500000,0.250000
7,7,5.606516,-5.604759,-0.309483,0.313487,0.500000,0.250000
0,0,7.885475,0.000488,-0.589756,-0.013512,0.500000,0.300000
1,1,5.589962,5.584650,-0.325976,-0.368855,0.500000,0.300000
2,2,-0.000241,7.881480,0.000835,-0.606774,0.500000,0.300000
3,3,-5.581161,5.574191,0.396373,-0.424547,0.500000,0.300000
4,4,-7.899402,0.000666,0.508140,-0.008027,0.500000,0.300000
5,5,-5.575456,-5.574758,0.413364,0.415430,0.500000,0.300000
6,6,0.000671,-7.880942,0.007013,0.621076,0.500000,0.300000
7,7,5.588932,-5.587227,-0.351685,0.350650,0.500000,0.300000
0,0,7.852373,-0.000198,-0.662048,-0.013705,0.500000,0.350000
1,1,5.572009,5.565565,-0.359051,-0.381708,0.500000,0.350000
2,2,0.000249,7.848405,0.009799,-0.661499,0.500000,0.350000
3,3,-5.559403,5.551354,0.435173,-0.456741,0.500000,0.350000
4,4,-7.871861,0.000037,0.550818,-0.012583,0.500000,0.350000
5,5,-5.552509,-5.551546,0.458941,0.464240,0.500000,0.350000
6,6,0.001231,-7.847419,0.011191,0.670448,0.500000,0.350000
7,7,5.569591,-5.568466,-0.386810,0.375215,0.500000,0.350000
0,0,7.816933,-0.001117,-0.708791,-0.018389,0.500000,0.400000
1,1,5.553908,5.544861,-0.362025,-0.414076,0.500000,0.400000
2,2,0.001395,7.812285,0.022902,-0.722413,0.500000,0.400000
3,3,-5.535830,5.526927,0.471452,-0.488546,0.500000,0.400000
4,4,-7.842532,0.000126,0.586584,0.001790,0.500000,0.400000
5,5,-5.527992,-5.526507,0.490338,0.500769,0.500000,0.400000
6,6,0.001412,-7.810971,0.003629,0.728963,0.500000,0.400000
7,7,5.549442,-5.549119,-0.402983,0.386928,0.500000,0.400000
0,0,7.777977,-0.001195,-0.779131,-0.001549,0.500000,0.450000
1,1,5.535204,5.523606,-0.374078,-0.425098,0.500000,0.450000
2,2,0.002177,7.773595,0.015644,-0.773797,0.500000,0.450000
3,3,-5.511082,5.501381,0.494970,-0.510907,0.500000,0.450000
4,4,-7.812403,0.000786,0.602566,0.013203,0.500000,0.450000
5,5,-5.501959,-5.500889,0.520658,0.512374,0.500000,0.450000
6,6,0.002135,-7.772145,0.014455,0.776515,0.500000,0.450000
7,7,5.528747,-5.529401,-0.413910,0.394372,0.500000,0.450000
0,0,7.736497,-0.002175,-0.829591,-0.019616,0.500000,0.500000
1,1,5.516937,5.501192,-0.365333,-0.448279,0.500000,0.500000
2,2,0.002580,7.732953,0.008064,-0.812847,0.500000,0.500000
3,3,-5.484858,5.475303,0.524482,-0.521572,0.500000,0.500000
4,4,-7.781860,0.001680,0.610862,0.017861,0.500000,0.500000
5,5,-5.474460,-5.472947,0.549970,0.558833,0.500000,0.500000
6,6,0.002763,-7.730078,0.012554,0.841353,0.500000,0.500000
7,7,5.508659,-5.510059,-0.401748,0.386841,0.500000,0.500000
0,0,7.692059,-0.001409,-0.888751,0.015328,0.500000,0.550000
1,1,5.498455,5.479117,-0.369648,-0.441497,0.500000,0.550000
2,2,0.003002,7.690266,0.008452,-0.853742,0.500000,0.550000
3,3,-5.458037,5.448996,0.536416,-0.526140,0.500000,0.550000
4,4,-7.750738,0.002780,0.622445,0.022012,0.500000,0.550000
5,5,-5.445526,-5.444445,0.578688,0.570042,0.500000,0.550000
6,6,0.004209,-7.685270,0.028920,0.896153,0.500000,0.550000
7,7,5.488361,-5.490898,-0.405967,0.383217,0.500000,0.550000
0,0,7.645502,-0.000716,-0.931145,0.013851,0.500000,0.600000
1,1,5.478762,5.456646,-0.393856,-0.449428,0.500000,0.600000
2,2,0.004248,7.644861,0.024910,-0.908094,0.500000,0.600000
3,3,-5.430281,5.421773,0.555108,-0.544450,0.500000,0.600000
4,4,-7.719354,0.003270,0.627670,0.009798,0.500000,0.600000
5,5,-5.415967,-5.414041,0.591178,0.608074,0.500000,0.600000
6,6,0.006523,-7.637066,0.046282,0.964088,0.500000,0.600000
7,7,5.466669,-5.470387,-0.433843,0.410228,0.500000,0.600000
0,0,7.595511,-0.001056,-0.999824,-0.006786,0.500000,0.650000
1,1,5.459299,5.432541,-0.389252,-0.482103,0.500000,0.650000
2,2,0.007108,7.596511,0.057204,-0.966990,0.500000,0.650000
3,3,-5.401736,5.394840,0.570902,-0.538665,0.500000,0.650000
4,4,-7.688575,0.002838,0.615587,-0.008641,0.500000,0.650000
5,5,-5.386055,-5.383052,0.598237,0.619785,0.500000,0.650000
6,6,0.009421,-7.585262,0.057965,1.036078,0.500000,0.650000
7,7,5.444024,-5.448626,-0.452900,0.435221,0.500000,0.650000
0,0,7.542708,-0.003361,-1.056060,-0.046113,0.500000,0.700000
1,1,5.440203,5.407077,-0.381921,-0.509273,0.500000,0.700000
2,2,0.009922,7.545270,0.056273,-1.024829,0.500000,0.700000
3,3,-5.372778,5.367932,0.579163,-0.538157,0.500000,0.700000
4,4,-7.656059,0.001804,0.650324,-0.020677,0.500000,0.700000
5,5,-5.355822,-5.351410,0.604655,0.632839,0.500000,0.700000
6,6,0.013730,-7.530743,0.086187,1.090368,0.500000,0.700000
7,7,5.419458,-5.424850,-0.491312,0.475512,0.500000,0.700000
0,0,7.487044,-0.003925,-1.113279,-0.011273,0.500000,0.750000
1,1,5.419925,5.381126,-0.405576,-0.519016,0.500000,0.750000
2,2,0.015116,7.491203,0.103887,-1.081332,0.500000,0.750000
3,3,-5.343203,5.342167,0.591509,-0.515311,0.500000,0.750000
4,4,-7.624228,0.000568,0.636615,-0.024716,0.500000,0.750000
5,5,-5.324888,-5.318950,0.618692,0.649198,0.500000,0.750000
6,6,0.020256,-7.474298,0.130516,1.128906,0.500000,0.750000
7,7,5.395810,-5.402360,-0.472965,0.449803,0.500000,0.750000
0,0,7.428659,-0.006187,-1.167708,-0.045231,0.500000,0.800000
1,1,5.397565,5.353676,-0.447197,-0.549006,0.500000,0.800000
2,2,0.021246,7.434751,0.122589,-1.129049,0.500000,0.800000
3,3,-5.311683,5.317642,0.630397,-0.490497,0.500000,0.800000
4,4,-7.592847,-0.000536,0.627626,-0.022081,0.500000,0.800000
5,5,-5.292218,-5.287321,0.653401,0.632582,0.500000,0.800000
6,6,0.028721,-7.416057,0.169302,1.164824,0.500000,0.800000
7,7,5.370342,-5.377928,-0.509364,0.488644,0.500000,0.800000
0,0,7.369548,-0.008217,-1.182206,-0.040612,0.500000,0.850000
1,1,5.373331,5.324877,-0.484676,-0.575979,0.500000,0.850000
2,2,0.024972,7.375580,0.074527,-1.183425,0.500000,0.850000
3,3,-5.277118,5.292297,0.691285,-0.506888,0.500000,0.850000
4,4,-7.561384,-0.000641,0.629261,-0.002098,0.500000,0.850000
5,5,-5.258859,-5.255598,0.667185,0.634459,0.500000,0.850000
6,6,0.037223,-7.354963,0.170030,1.221882,0.500000,0.850000
7,7,5.345438,-5.353294,-0.498079,0.492673,0.500000,0.850000
0,0,7.309786,-0.010039,-1.195255,-0.036436,0.500000,0.900000
1,1,5.350686,5.295695,-0.452900,-0.583654,0.500000,0.900000
2,2,0.028317,7.315503,0.066892,-1.201525,0.500000,0.900000
3,3,-5.240504,5.264958,0.732280,-0.546779,0.500000,0.900000
4,4,-7.530653,-0.000629,0.614604,0.000236,0.500000,0.900000
5,5,-5.225021,-5.224719,0.676743,0.617578,0.500000,0.900000
6,6,0.047118,-7.291817,0.197906,1.262913,0.500000,0.900000
7,7,5.318840,-5.326932,-0.531961,0.527232,0.500000,0.900000
0,0,7.249436,-0.011672,-1.206998,-0.032662,0.500000,0.950000
1,1,5.329124,5.266403,-0.431240,-0.585836,0.500000,0.950000
2,2,0.031071,7.251312,0.055081,-1.283821,0.500000,0.950000
3,3,-5.203617,5.238013,0.737755,-0.538899,0.500000,0.950000
4,4,-7.498878,-0.001166,0.635506,-0.010746,0.500000,0.950000
5,5,-5.189798,-5.192162,0.704467,0.651151,0.500000,0.950000
6,6,0.054231,-7.226040,0.142259,1.315553,0.500000,0.950000
7,7,5.290717,-5.299016,-0.562454,0.558336,0.500000,0.950000
0,0,7.188557,-0.013135,-1.217567,-0.029251,0.500000,1.000000
1,1,5.305605,5.235950,-0.470386,-0.609053,0.500000,1.000000
2,2,0.033537,7.186718,0.049335,-1.291881,0.500000,1.000000
3,3,-5.165747,5.209079,0.757395,-0.578698,0.500000,1.000000
4,4,-7.466325,-0.002566,0.651058,-0.027996,0.500000,1.000000
5,5,-5.156143,-5.159611,0.673100,0.651015,0.500000,1.000000
6,6,0.060608,-7.159923,0.127541,1.322323,0.500000,1.000000
7,7,5.261222,-5.269699,-0.589896,0.586331,0.500000,1.000000
0,0,7.125316,-0.012679,-1.264821,0.009106,0.500000,1.050000
1,1,5.282901,5.206042,-0.454065,-0.598161,0.500000,1.050000
2,2,0.035904,7.118068,0.047340,-1.373004,0.500000,1.050000
3,3,-5.127489,5.180736,0.765157,-0.566856,0.500000,1.050000
4,4,-7.435160,-0.004406,0.623302,-0.036793,0.500000,1.050000
5,5,-5.121084,-5.125548,0.701173,0.681260,0.500000,1.050000
6,6,0.068597,-7.091751,0.159768,1.363454,0.500000,1.050000
7,7,5.232442,-5.240788,-0.575598,0.578216,0.500000,1.050000
0,0,7.064129,-0.009345,-1.223744,0.066683,0.500000,1.100000
1,1,5.258352,5.175037,-0.490983,-0.620091,0.500000,1.100000
2,2,0.038020,7.049461,0.042322,-1.372146,0.500000,1.100000
3,3,-5.088390,5.150539,0.781974,-0.603940,0.500000,1.100000
4,4,-7.404579,-0.005085,0.611633,-0.013579,0.500000,1.100000
5,5,-5.082993,-5.090097,0.761829,0.709022,0.500000,1.100000
6,6,0.075433,-7.024516,0.136729,1.344693,0.500000,1.100000
7,7,5.202356,-5.210577,-0.601726,0.604223,0.500000,1.100000
0,0,7.008299,-0.005109,-1.116593,0.084722,0.500000,1.150000
1,1,5.234657,5.145234,-0.473896,-0.596061,0.500000,1.150000
2,2,0.037271,6.983833,-0.014991,-1.312558,0.500000,1.150000
3,3,-5.048537,5.118671,0.797069,-0.637356,0.500000,1.150000
4,4,-7.371149,-0.005692,0.668592,-0.012153,0.500000,1.150000
5,5,-5.047463,-5.054768,0.710606,0.706585,0.500000,1.150000
6,6,0.083240,-6.959112,0.156139,1.308081,0.500000,1.150000
7,7,5.171094,-5.179196,-0.625241,0.627630,0.500000,1.150000
0,0,6.954466,-0.001224,-1.076677,0.077709,0.500000,1.200000
1,1,5.211392,5.116927,-0.465310,-0.566151,0.500000,1.200000
2,2,0.037226,6.917649,-0.000901,-1.323683,0.500000,1.200000
3,3,-5.010163,5.088154,0.767472,-0.610330,0.500000,1.200000
4,4,-7.339228,-0.006020,0.638422,-0.006550,0.500000,1.200000
