id,gid,x,y,v_x,v_y,radius,time
0,0,10.172643,0.380104,0.130859,0.500000,0.200000,0.050000
1,0,12.523400,0.603277,-0.500000,0.235004,0.200000,0.050000
2,0,7.347040,-0.117238,0.500000,0.094865,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.860050,0.725012,0.500000,0.500000,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.709361,-1.074830,0.277223,-0.500000,0.200000,0.050000
7,0,10.877307,-0.180449,0.346132,-0.212084,0.200000,0.050000
8,0,13.287900,-0.531423,-0.500000,0.120357,0.200000,0.050000
9,0,8.054550,-0.243755,0.500000,-0.462623,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.776576,-0.695034,0.313511,-0.075711,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.551300,0.149991,0.500000,0.364096,0.200000,0.050000
14,0,6.787340,-0.389901,-0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.767226,0.907897,-0.243870,0.500000,0.200000,0.050000
18,0,9.503303,-0.461532,0.097452,-0.477818,0.200000,0.050000
19,0,7.357290,-0.864390,0.500000,-0.500000,0.200000,0.050000
20,1,7.309036,7.707883,0.179329,-0.109537,0.200000,0.050000
21,1,8.369699,-4.213131,0.071973,-0.359623,0.200000,0.050000
22,1,7.118189,2.329687,0.131987,-0.127262,0.200000,0.050000
23,1,9.105125,-3.084858,0.335909,-0.163354,0.200000,0.050000
24,1,5.299378,5.479556,-0.215231,-0.208286,0.200000,0.050000
25,1,8.415447,-2.053465,0.051537,-0.485691,0.200000,0.050000
26,1,6.820525,6.562760,-0.028890,-0.110992,0.200000,0.050000
27,1,5.156951,1.248230,-0.201380,0.500000,0.200000,0.050000
28,1,4.792463,3.027360,-0.341748,0.091805,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.598130,3.443589,-0.099994,-0.066023,0.200000,0.050000
31,1,7.264727,-4.359986,-0.221665,-0.300722,0.200000,0.050000
32,1,5.642784,2.244800,-0.038918,0.102805,0.200000,0.050000
33,1,7.976737,5.373385,-0.011654,0.185505,0.200000,0.050000
34,1,4.912437,6.638430,-0.293650,0.042590,0.200000,0.050000
35,1,9.209330,3.759680,0.500000,-0.500000,0.200000,0.050000
36,1,6.191794,4.205770,-0.093923,-0.051005,0.200000,0.050000
37,1,8.530315,3.854832,-0.448091,-0.155966,0.200000,0.050000
38,1,9.157404,4.654865,0.321876,0.460090,0.200000,0.050000
39,1,6.796828,8.875362,-0.041646,0.137250,0.200000,0.050000
0,0,10.193090,0.402997,0.408943,0.457864,0.200000,0.100000
1,0,12.521759,0.601838,-0.032824,-0.028784,0.200000,0.100000
2,0,7.356765,-0.111257,0.194501,0.119611,0.200000,0.100000
3,0,6.759849,-0.900965,-0.393830,-0.711739,0.200000,0.100000
4,0,8.870311,0.775012,0.205223,1.000000,0.200000,0.100000
5,0,5.248660,0.503070,0.000000,-0.130660,0.200000,0.100000
6,0,13.715684,-1.097267,0.126453,-0.448736,0.200000,0.100000
7,0,10.869613,-0.191574,-0.153868,-0.222487,0.200000,0.100000
8,0,13.269922,-0.550405,-0.359558,-0.379643,0.200000,0.100000
9,0,8.064931,-0.245100,0.207623,-0.026892,0.200000,0.100000
10,0,6.896718,0.261962,0.168360,0.348479,0.200000,0.100000
11,0,14.784222,-0.698188,0.152927,-0.063082,0.200000,0.100000
12,0,13.382092,0.570504,-0.056161,0.000000,0.200000,0.100000
13,0,8.551300,0.143196,0.000000,-0.135904,0.200000,0.100000
14,0,6.787340,-0.389901,0.000000,0.000000,0.200000,0.100000
15,0,13.653110,1.067976,0.320204,0.442716,0.200000,0.100000
16,0,6.370660,0.024987,-1.000000,0.000000,0.200000,0.100000
17,0,6.768983,0.919426,0.035130,0.230578,0.200000,0.100000
18,0,9.524317,-0.478294,0.420279,-0.335239,0.200000,0.100000
19,0,7.357290,-0.902353,0.000000,-0.759265,0.200000,0.100000
20,1,7.321053,7.709741,0.240340,0.037158,0.200000,0.100000
21,1,8.369055,-4.242164,-0.012880,-0.580648,0.200000,0.100000
22,1,7.120367,2.317368,0.043552,-0.246372,0.200000,0.100000
23,1,9.127518,-3.112585,0.447853,-0.554540,0.200000,0.100000
24,1,5.281867,5.481491,-0.350223,0.038710,0.200000,0.100000
25,1,8.413163,-2.084093,-0.045675,-0.612570,0.200000,0.100000
26,1,6.813603,6.550227,-0.138447,-0.250676,0.200000,0.100000
27,1,5.167783,1.274618,0.216642,0.527762,0.200000,0.100000
