id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993881,-1.004888,0.122389,-0.097761,0.750000,0.050000
1,0,-8.993803,1.008970,0.123939,0.179391,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981873,-1.009286,0.240150,-0.087949,0.750000,0.100000
1,0,-8.981726,1.017039,0.241545,0.161387,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.964566,-1.013240,0.346135,-0.079087,0.750000,0.150000
1,0,-8.964356,1.024295,0.347391,0.145125,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.942482,-1.016824,0.441677,-0.071681,0.750000,0.200000
1,0,-8.942308,1.030860,0.440963,0.131297,0.750000,0.200000
2,1,-0.058332,0.000081,-0.437349,0.001629,0.750000,0.200000
0,0,-8.916619,-1.020477,0.517276,-0.073062,0.750000,0.250000
1,0,-8.916827,1.038054,0.509613,0.143870,0.750000,0.250000
2,1,-0.082615,0.000228,-0.485649,0.002924,0.750000,0.250000
0,0,-8.887311,-1.024346,0.586149,-0.077378,0.750000,0.300000
1,0,-8.888051,1.045446,0.575523,0.147844,0.750000,0.300000
2,1,-0.109412,0.000211,-0.535946,-0.000325,0.750000,0.300000
0,0,-8.855242,-1.028748,0.641382,-0.088052,0.750000,0.350000
1,0,-8.856916,1.052882,0.622699,0.148728,0.750000,0.350000
2,1,-0.138441,-0.000127,-0.580571,-0.006778,0.750000,0.350000
0,0,-8.820806,-1.033878,0.688729,-0.102581,0.750000,0.400000
1,0,-8.823765,1.060791,0.663018,0.158188,0.750000,0.400000
2,1,-0.168030,-0.000166,-0.591777,-0.000764,0.750000,0.400000
0,0,-8.785887,-1.039701,0.698363,-0.116465,0.750000,0.450000
1,0,-8.788468,1.069572,0.705949,0.175618,0.750000,0.450000
2,1,-0.198553,-0.000444,-0.610469,-0.005564,0.750000,0.450000
0,0,-8.749998,-1.046447,0.717792,-0.134918,0.750000,0.500000
1,0,-8.750200,1.077450,0.765353,0.157548,0.750000,0.500000
2,1,-0.230135,-0.001016,-0.631643,-0.011440,0.750000,0.500000
0,0,-8.713111,-1.054206,0.737743,-0.155196,0.750000,0.550000
1,0,-8.711266,1.086055,0.778687,0.172100,0.750000,0.550000
2,1,-0.261787,-0.001584,-0.633039,-0.011356,0.750000,0.550000
0,0,-8.674604,-1.062972,0.770141,-0.175312,0.750000,0.600000
1,0,-8.671401,1.095738,0.797293,0.193655,0.750000,0.600000
2,1,-0.293894,-0.002496,-0.642144,-0.018245,0.750000,0.600000
0,0,-8.635305,-1.072866,0.785967,-0.197885,0.750000,0.650000
1,0,-8.630581,1.106509,0.816412,0.215435,0.750000,0.650000
2,1,-0.327433,-0.001288,-0.670771,0.024167,0.750000,0.650000
0,0,-8.593437,-1.081744,0.837370,-0.177559,0.750000,0.700000
1,0,-8.587741,1.118593,0.856800,0.241681,0.750000,0.700000
2,1,-0.362232,-0.000500,-0.695987,0.015743,0.750000,0.700000
0,0,-8.550639,-1.092181,0.855956,-0.208726,0.750000,0.750000
1,0,-8.544871,1.131583,0.857404,0.259786,0.750000,0.750000
2,1,-0.398856,-0.002440,-0.732484,-0.038790,0.750000,0.750000
0,0,-8.507428,-1.104199,0.864219,-0.240359,0.750000,0.800000
1,0,-8.501001,1.145799,0.877398,0.284318,0.750000,0.800000
2,1,-0.434425,-0.004004,-0.711372,-0.031276,0.750000,0.800000
