id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993320,-1.003393,0.133592,-0.067868,0.750000,0.050000
1,0,-8.993500,1.001970,0.130000,0.039404,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.980811,-1.006466,0.250191,-0.061451,0.750000,0.100000
1,0,-8.981148,1.003882,0.247039,0.038238,0.750000,0.100000
2,1,-0.018850,-0.000000,-0.246998,-0.000002,0.750000,0.100000
0,0,-8.963053,-1.009229,0.355155,-0.055266,0.750000,0.150000
1,0,-8.963688,1.006932,0.349205,0.061004,0.750000,0.150000
2,1,-0.036463,-0.000000,-0.352258,-0.000003,0.750000,0.150000
0,0,-8.940413,-1.012842,0.452807,-0.072264,0.750000,0.200000
1,0,-8.941500,1.010031,0.443749,0.061971,0.750000,0.200000
2,1,-0.058808,0.000000,-0.446908,0.000006,0.750000,0.200000
0,0,-8.913536,-1.016224,0.537544,-0.067630,0.750000,0.250000
1,0,-8.915045,1.012949,0.529105,0.058367,0.750000,0.250000
2,1,-0.085408,0.000002,-0.531986,0.000029,0.750000,0.250000
0,0,-8.882859,-1.019266,0.613524,-0.060847,0.750000,0.300000
1,0,-8.884879,1.016439,0.603330,0.069800,0.750000,0.300000
2,1,-0.115828,0.000001,-0.608411,-0.000009,0.750000,0.300000
0,0,-8.848761,-1.022035,0.681962,-0.055377,0.750000,0.350000
1,0,-8.851243,1.019585,0.672716,0.062912,0.750000,0.350000
2,1,-0.149675,0.000004,-0.676947,0.000058,0.750000,0.350000
0,0,-8.811589,-1.024533,0.743443,-0.049947,0.750000,0.400000
1,0,-8.814511,1.022691,0.734632,0.062125,0.750000,0.400000
2,1,-0.186591,0.000005,-0.738322,0.000018,0.750000,0.400000
0,0,-8.771652,-1.026910,0.798743,-0.047547,0.750000,0.450000
1,0,-8.775028,1.025975,0.789667,0.065677,0.750000,0.450000
2,1,-0.226271,-0.000002,-0.793583,-0.000143,0.750000,0.450000
0,0,-8.729249,-1.029058,0.848060,-0.042961,0.750000,0.500000
1,0,-8.733113,1.029613,0.838287,0.072757,0.750000,0.500000
2,1,-0.268419,-0.000007,-0.842974,-0.000099,0.750000,0.500000
0,0,-8.684622,-1.031008,0.892529,-0.039007,0.750000,0.550000
1,0,-8.688976,1.033317,0.882753,0.074092,0.750000,0.550000
2,1,-0.312775,-0.000004,-0.887112,0.000067,0.750000,0.550000
0,0,-8.637937,-1.033389,0.933700,-0.047616,0.750000,0.600000
1,0,-8.642799,1.036673,0.923534,0.067115,0.750000,0.600000
2,1,-0.359098,0.000002,-0.926454,0.000107,0.750000,0.600000
0,0,-8.589473,-1.035591,0.969291,-0.044036,0.750000,0.650000
1,0,-8.594805,1.039886,0.959879,0.064259,0.750000,0.650000
2,1,-0.407164,0.000014,-0.961322,0.000241,0.750000,0.650000
0,0,-8.539408,-1.037654,1.001295,-0.041258,0.750000,0.700000
1,0,-8.545175,1.042877,0.992603,0.059811,0.750000,0.700000
2,1,-0.456806,0.000038,-0.992847,0.000493,0.750000,0.700000
0,0,-8.487925,-1.039547,1.029666,-0.037873,0.750000,0.750000
1,0,-8.494193,1.046386,1.019649,0.070184,0.750000,0.750000
2,1,-0.507825,0.000052,-1.020383,0.000279,0.750000,0.750000
0,0,-8.435193,-1.041286,1.054648,-0.034770,0.750000,0.800000
1,0,-8.441892,1.049683,1.046010,0.065940,0.750000,0.800000
