id,gid,x,y,v_x,v_y,radius,time
0,0,10.158827,0.356230,-0.145454,0.022518,0.200000,0.050000
1,0,12.535484,0.592927,-0.258323,0.027994,0.200000,0.050000
2,0,7.347040,-0.096981,0.500000,0.500000,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.846652,0.725012,0.232032,0.500000,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.701026,-1.068261,0.110511,-0.368627,0.200000,0.050000
7,0,10.855562,-0.170895,-0.088758,-0.021000,0.200000,0.050000
8,0,13.292991,-0.519195,-0.398181,0.364930,0.200000,0.050000
9,0,8.004550,-0.245624,-0.500000,-0.500000,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.755165,-0.690852,-0.114692,0.007924,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.550602,0.151120,0.486048,0.386678,0.200000,0.050000
14,0,6.837340,-0.389901,0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.764797,0.907897,-0.292469,0.500000,0.200000,0.050000
18,0,9.492250,-0.437876,-0.123610,-0.004691,0.200000,0.050000
19,0,7.357290,-0.858918,0.500000,-0.390553,0.200000,0.050000
20,1,7.298901,7.706877,-0.023387,-0.129666,0.200000,0.050000
21,1,8.364533,-4.201625,-0.031334,-0.129490,0.200000,0.050000
22,1,7.111337,2.329016,-0.005063,-0.140674,0.200000,0.050000
23,1,9.086746,-3.082725,-0.031673,-0.120692,0.200000,0.050000
24,1,5.310904,5.483224,0.015273,-0.134929,0.200000,0.050000
25,1,8.411557,-2.035490,-0.026270,-0.126205,0.200000,0.050000
26,1,6.821813,6.560802,-0.003139,-0.150153,0.200000,0.050000
27,1,5.178326,1.232654,0.226126,0.188490,0.200000,0.050000
28,1,4.810231,3.016556,0.013623,-0.124282,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.602942,3.441556,-0.003753,-0.106675,0.200000,0.050000
31,1,7.275154,-4.351540,-0.013116,-0.131802,0.200000,0.050000
32,1,5.645877,2.233935,0.022949,-0.114509,0.200000,0.050000
33,1,7.976837,5.357858,-0.009650,-0.125034,0.200000,0.050000
34,1,4.927514,6.630304,0.007883,-0.119920,0.200000,0.050000
35,1,9.199327,3.774240,0.299937,-0.208808,0.200000,0.050000
36,1,6.196810,4.201812,0.006394,-0.130169,0.200000,0.050000
37,1,8.529615,3.853908,-0.462096,-0.174431,0.200000,0.050000
38,1,9.139715,4.630163,-0.031900,-0.033937,0.200000,0.050000
39,1,6.798965,8.862132,0.001096,-0.127370,0.200000,0.050000
0,0,10.149857,0.354237,-0.179408,-0.039861,0.200000,0.100000
1,0,12.516558,0.596114,-0.378523,0.063752,0.200000,0.100000
2,0,7.397040,-0.096981,1.000000,0.000000,0.200000,0.100000
3,0,6.750231,-0.888059,-0.586177,-0.453621,0.200000,0.100000
4,0,8.851099,0.747492,0.088949,0.449599,0.200000,0.100000
5,0,5.256582,0.508680,0.158442,-0.018465,0.200000,0.100000
6,0,13.699511,-1.084479,-0.030301,-0.324349,0.200000,0.100000
7,0,10.845334,-0.172565,-0.204561,-0.033395,0.200000,0.100000
8,0,13.269057,-0.525948,-0.478672,-0.135070,0.200000,0.100000
