id,gid,x,y,v_x,v_y,radius,time
0,0,7.993437,0.000002,-0.131269,0.000042,0.500000,0.050000
1,1,5.652748,5.652748,-0.082035,-0.082036,0.500000,0.050000
2,2,0.000002,7.993178,0.000038,-0.136443,0.500000,0.050000
3,3,-5.652172,5.652173,0.093563,-0.093541,0.500000,0.050000
4,4,-7.994094,0.000001,0.118123,0.000028,0.500000,0.050000
5,5,-5.652080,-5.652093,0.095396,0.095333,0.500000,0.050000
6,6,0.000000,-7.993084,0.000000,0.138326,0.500000,0.050000
7,7,5.652674,-5.652660,-0.083721,0.083795,0.500000,0.050000
0,0,7.980966,0.000006,-0.249410,0.000081,0.500000,0.100000
1,1,5.644955,5.644955,-0.155866,-0.155868,0.500000,0.100000
2,2,0.000005,7.980216,0.000072,-0.259240,0.500000,0.100000
3,3,-5.643283,5.643287,0.177768,-0.177726,0.500000,0.100000
4,4,-7.982872,0.000003,0.224432,0.000053,0.500000,0.100000
5,5,-5.643018,-5.643037,0.181252,0.181132,0.500000,0.100000
6,6,0.000000,-7.979943,0.000000,0.262818,0.500000,0.100000
7,7,5.644721,-5.644700,-0.159069,0.159210,0.500000,0.100000
0,0,7.963179,0.000012,-0.355733,0.000115,0.500000,0.150000
1,1,5.633840,5.633839,-0.222309,-0.222312,0.500000,0.150000
2,2,0.000010,7.961728,0.000104,-0.369754,0.500000,0.150000
3,3,-5.630606,5.630612,0.253548,-0.253491,0.500000,0.150000
4,4,-7.966867,0.000007,0.320104,0.000076,0.500000,0.150000
5,5,-5.630092,-5.630119,0.258517,0.258348,0.500000,0.150000
6,6,0.000000,-7.961200,0.000002,0.374856,0.500000,0.150000
7,7,5.633377,-5.633346,-0.226877,0.227080,0.500000,0.150000
0,0,7.940609,0.000019,-0.451417,0.000147,0.500000,0.200000
1,1,5.619735,5.619734,-0.282096,-0.282101,0.500000,0.200000
2,2,0.000017,7.938268,0.000135,-0.469207,0.500000,0.200000
3,3,-5.614519,5.614528,0.321741,-0.321673,0.500000,0.200000
4,4,-7.946557,0.000012,0.406194,0.000096,0.500000,0.200000
5,5,-5.613689,-5.613727,0.328046,0.327837,0.500000,0.200000
6,6,0.000000,-7.937416,0.000006,0.475681,0.500000,0.200000
7,7,5.618982,-5.618938,-0.287893,0.288151,0.500000,0.200000
0,0,7.913732,0.000028,-0.537524,0.000176,0.500000,0.250000
1,1,5.602940,5.602939,-0.335887,-0.335893,0.500000,0.250000
2,2,0.000025,7.910333,0.000167,-0.558702,0.500000,0.250000
3,3,-5.595364,5.595377,0.383101,-0.383027,0.500000,0.250000
4,4,-7.922375,0.000018,0.483650,0.000115,0.500000,0.250000
5,5,-5.594159,-5.594209,0.390608,0.390369,0.500000,0.250000
6,6,0.000001,-7.909095,0.000013,0.566410,0.500000,0.250000
7,7,5.601843,-5.601783,-0.342789,0.343097,0.500000,0.250000
0,0,7.882982,0.000038,-0.615008,0.000202,0.500000,0.300000
1,1,5.583727,5.583725,-0.384274,-0.384280,0.500000,0.300000
2,2,0.000035,7.878371,0.000201,-0.639233,0.500000,0.300000
3,3,-5.573449,5.573466,0.438306,-0.438233,0.500000,0.300000
4,4,-7.894709,0.000024,0.553325,0.000131,0.500000,0.300000
5,5,-5.571814,-5.571877,0.446895,0.446635,0.500000,0.300000
6,6,0.000002,-7.876693,0.000026,0.648050,0.500000,0.300000
7,7,5.582234,-5.582157,-0.392170,0.392522,0.500000,0.300000
0,0,7.848745,0.000050,-0.684733,0.000228,0.500000,0.350000
1,1,5.562337,5.562336,-0.427789,-0.427795,0.500000,0.350000
2,2,0.000047,7.842786,0.000238,-0.711694,0.500000,0.350000
3,3,-5.549050,5.549070,0.487969,-0.487903,0.500000,0.350000
4,4,-7.863909,0.000032,0.615987,0.000146,0.500000,0.350000
5,5,-5.546938,-5.547014,0.497531,0.497261,0.500000,0.350000
6,6,0.000005,-7.840618,0.000043,0.721507,0.500000,0.350000
7,7,5.560405,-5.560309,-0.436581,0.436971,0.500000,0.350000
0,0,7.811372,0.000062,-0.747473,0.000251,0.500000,0.400000
1,1,5.538991,5.538990,-0.466915,-0.466919,0.500000,0.400000
2,2,0.000061,7.803942,0.000277,-0.776892,0.500000,0.400000
3,3,-5.522418,5.522441,0.532641,-0.532588,0.500000,0.400000
4,4,-7.830293,0.000039,0.672329,0.000158,0.500000,0.400000
