id,gid,x,y,v_x,v_y,radius,time
0,0,10.158385,0.357029,-0.154297,0.038493,0.200000,0.050000
1,0,12.538804,0.591288,-0.191922,-0.004783,0.200000,0.050000
2,0,7.347040,-0.125334,0.500000,-0.067053,0.200000,0.050000
3,0,6.779540,-0.865378,-0.500000,-0.500000,0.200000,0.050000
4,0,8.838755,0.718868,0.074097,0.377115,0.200000,0.050000
5,0,5.248660,0.509603,0.500000,-0.500000,0.200000,0.050000
6,0,13.702575,-1.068483,0.141505,-0.373058,0.200000,0.050000
7,0,10.855581,-0.171238,-0.088386,-0.027862,0.200000,0.050000
8,0,13.292311,-0.519126,-0.411777,0.366304,0.200000,0.050000
9,0,8.004642,-0.242007,-0.498163,-0.427654,0.200000,0.050000
10,0,6.888300,0.244538,0.500000,0.500000,0.200000,0.050000
11,0,14.755020,-0.690900,-0.117603,0.006951,0.200000,0.050000
12,0,13.384900,0.570504,-0.500000,-0.500000,0.200000,0.050000
13,0,8.539218,0.134376,0.258350,0.051801,0.200000,0.050000
14,0,6.837340,-0.389901,0.500000,0.500000,0.200000,0.050000
15,0,13.637100,1.045840,0.500000,0.500000,0.200000,0.050000
16,0,6.420660,0.024987,-0.500000,-0.500000,0.200000,0.050000
17,0,6.771488,0.900899,-0.158647,0.360033,0.200000,0.050000
18,0,9.491923,-0.438522,-0.130145,-0.017612,0.200000,0.050000
19,0,7.357290,-0.859494,0.500000,-0.402090,0.200000,0.050000
20,1,7.299093,7.706999,-0.019544,-0.127216,0.200000,0.050000
21,1,8.365078,-4.201566,-0.020441,-0.128316,0.200000,0.050000
22,1,7.111532,2.329370,-0.001168,-0.133590,0.200000,0.050000
23,1,9.086711,-3.082989,-0.032382,-0.125978,0.200000,0.050000
24,1,5.310884,5.483246,0.014871,-0.134481,0.200000,0.050000
25,1,8.411645,-2.035462,-0.024491,-0.125640,0.200000,0.050000
26,1,6.821940,6.561599,-0.000594,-0.134222,0.200000,0.050000
27,1,5.183098,1.248230,0.321557,0.500000,0.200000,0.050000
28,1,4.810262,3.016687,0.014239,-0.121661,0.200000,0.050000
29,1,4.787470,0.734054,-0.500000,0.500000,0.200000,0.050000
30,1,7.602203,3.440295,-0.018538,-0.131905,0.200000,0.050000
31,1,7.274917,-4.351528,-0.017853,-0.131569,0.200000,0.050000
32,1,5.645876,2.233432,0.022929,-0.124561,0.200000,0.050000
33,1,7.976796,5.357760,-0.010485,-0.126997,0.200000,0.050000
34,1,4.927793,6.630163,0.013454,-0.122742,0.200000,0.050000
35,1,9.207786,3.772383,0.469123,-0.245935,0.200000,0.050000
36,1,6.196847,4.201833,0.007146,-0.129745,0.200000,0.050000
37,1,8.527774,3.858458,-0.498922,-0.083443,0.200000,0.050000
38,1,9.141126,4.629232,-0.003686,-0.052569,0.200000,0.050000
39,1,6.798877,8.862245,-0.000658,-0.125098,0.200000,0.050000
0,0,10.146680,0.359588,-0.234098,0.051186,0.200000,0.100000
1,0,12.521603,0.593790,-0.344012,0.050045,0.200000,0.100000
2,0,7.347040,-0.103686,0.000000,0.432947,0.200000,0.100000
3,0,6.750994,-0.888668,-0.570925,-0.465799,0.200000,0.100000
4,0,8.836435,0.735820,-0.046401,0.339038,0.200000,0.100000
5,0,5.254529,0.502543,0.117381,-0.141202,0.200000,0.100000
6,0,13.702455,-1.084900,-0.002407,-0.328336,0.200000,0.100000
7,0,10.845351,-0.172553,-0.204590,-0.026292,0.200000,0.100000
8,0,13.267488,-0.525811,-0.496464,-0.133696,0.200000,0.100000
9,0,8.004734,-0.288389,0.001837,-0.927654,0.200000,0.100000
10,0,6.905658,0.291117,0.347152,0.931576,0.200000,0.100000
11,0,14.743236,-0.690364,-0.235674,0.010723,0.200000,0.100000
12,0,13.358005,0.570504,-0.537904,0.000000,0.200000,0.100000
13,0,8.542508,0.142157,0.065809,0.155620,0.200000,0.100000
14,0,6.837340,-0.352853,0.000000,0.740960,0.200000,0.100000
15,0,13.653110,1.067976,0.320204,0.442716,0.200000,0.100000
16,0,6.400712,-0.011527,-0.398963,-0.730276,0.200000,0.100000
17,0,6.758088,0.913200,-0.267991,0.246037,0.200000,0.100000
18,0,9.481894,-0.444361,-0.200577,-0.116786,0.200000,0.100000
19,0,7.372739,-0.874377,0.308977,-0.297647,0.200000,0.100000
20,1,7.297211,7.694906,-0.037629,-0.241864,0.200000,0.100000
21,1,8.363142,-4.213774,-0.038712,-0.244171,0.200000,0.100000
22,1,7.113528,2.317994,0.039929,-0.227537,0.200000,0.100000
23,1,9.083561,-3.095206,-0.063002,-0.244346,0.200000,0.100000
24,1,5.312242,5.470592,0.027162,-0.253085,0.200000,0.100000
25,1,8.409919,-2.049852,-0.034519,-0.287790,0.200000,0.100000
26,1,6.821904,6.548875,-0.000729,-0.254477,0.200000,0.100000
27,1,5.188370,1.248230,0.105445,0.000000,0.200000,0.100000
28,1,4.811481,3.005028,0.024386,-0.233188,0.200000,0.100000
29,1,4.766282,0.750188,-0.423756,0.322677,0.200000,0.100000
30,1,7.592875,3.417991,-0.186571,-0.446080,0.200000,0.100000
31,1,7.273204,-4.364038,-0.034277,-0.250197,0.200000,0.100000
32,1,5.655445,2.240929,0.191366,0.149934,0.200000,0.100000
33,1,7.975762,5.345640,-0.020683,-0.242398,0.200000,0.100000
34,1,4.929080,6.618456,0.025744,-0.234135,0.200000,0.100000
35,1,9.227873,3.754949,0.401746,-0.348695,0.200000,0.100000
36,1,6.197157,4.189906,0.006195,-0.238529,0.200000,0.100000
37,1,8.513761,3.858431,-0.280249,-0.000527,0.200000,0.100000
38,1,9.140233,4.620438,-0.017854,-0.175879,0.200000,0.100000
39,1,6.798821,8.850389,-0.001123,-0.237131,0.200000,0.100000
0,0,10.130046,0.362176,-0.332692,0.051755,0.200000,0.150000
