id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.000000,0.130000,0.000000,0.750000,0.050000
1,0,-8.993500,1.000000,0.130000,0.000000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.000000,0.247000,-0.000000,0.750000,0.100000
1,0,-8.981150,1.000000,0.247000,0.000000,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.000000,0.352298,-0.000002,0.750000,0.150000
1,0,-8.963535,1.000000,0.352298,0.000002,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352296,0.000000,0.750000,0.150000
0,0,-8.941182,-1.000001,0.447054,-0.000015,0.750000,0.200000
1,0,-8.941182,1.000001,0.447054,0.000015,0.750000,0.200000
2,1,-0.058817,0.000000,-0.447037,0.000000,0.750000,0.200000
0,0,-8.914567,-1.000004,0.532302,-0.000055,0.750000,0.250000
1,0,-8.914567,1.000004,0.532302,0.000055,0.750000,0.250000
2,1,-0.085429,0.000000,-0.532241,0.000000,0.750000,0.250000
0,0,-8.884119,-1.000010,0.608974,-0.000136,0.750000,0.300000
1,0,-8.884119,1.000010,0.608974,0.000136,0.750000,0.300000
2,1,-0.115870,0.000000,-0.608822,0.000000,0.750000,0.300000
0,0,-8.850223,-1.000024,0.677910,-0.000272,0.750000,0.350000
1,0,-8.850223,1.000024,0.677910,0.000272,0.750000,0.350000
2,1,-0.149750,0.000000,-0.677606,0.000000,0.750000,0.350000
0,0,-8.813230,-1.000048,0.739867,-0.000471,0.750000,0.400000
1,0,-8.813230,1.000048,0.739867,0.000471,0.750000,0.400000
2,1,-0.186717,0.000000,-0.739341,0.000000,0.750000,0.400000
0,0,-8.773453,-1.000084,0.795529,-0.000739,0.750000,0.450000
1,0,-8.773453,1.000084,0.795529,0.000739,0.750000,0.450000
2,1,-0.226452,0.000000,-0.794704,0.000000,0.750000,0.450000
0,0,-8.731178,-1.000139,0.845514,-0.001080,0.750000,0.500000
1,0,-8.731178,1.000139,0.845514,0.001080,0.750000,0.500000
2,1,-0.268668,0.000000,-0.844310,0.000000,0.750000,0.500000
0,0,-8.686659,-1.000213,0.890380,-0.001497,0.750000,0.550000
1,0,-8.686659,1.000213,0.890380,0.001497,0.750000,0.550000
2,1,-0.313104,0.000000,-0.888714,0.000000,0.750000,0.550000
0,0,-8.640127,-1.000313,0.930629,-0.001991,0.750000,0.600000
